work-id,section_num,page_url,section_title,section_url
,1.2.5.3,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,"Third, the mother of sin is most base.",https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#third-the-mother-of-sin-is-most-base
,1.2.5.4,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,"Fourth, let us see how base is the nurse of sin.",https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#fourth-let-us-see-how-base-is-the-nurse-of-sin
,1.2.5.5,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,"Fifth, let us institute a comparison of the sinful man and the Christian, so that it may better appear how base sin is.",https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#fifth-let-us-institute-a-comparison-of-the-sinful-man-and-the-christian-so-that-it-may-better-appear-how-base-sin-is
,1.2.5.6,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,"Finally, let us consider in particular how base are these and those sins.",https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#finally-let-us-consider-in-particular-how-base-are-these-and-those-sins
,1.2.6,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,"V. For acquiring a good conscience, three means are required: namely, diligent preparation, application of the remedy, and reformation of the conscience.",https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#v-for-acquiring-a-good-conscience-three-means-are-required-namely-diligent-preparation-application-of-the-remedy-and-reformation-of-the-conscience
,1.2.7,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,VI. He who wishes to preserve a good conscience must remove the impediments and apply the nourishments.,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#vi-he-who-wishes-to-preserve-a-good-conscience-must-remove-the-impediments-and-apply-the-nourishments
,1.2.8,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,A LIVING DESCRIPTION OF THE UNCLEAN WORLD,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#a-living-description-ofthe-unclean-world
,1.2.8.1,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,The Deity of the World,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#the-deity-of-the-world
,1.2.8.2,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,The Properties of the World,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#the-properties-of-the-world
,1.2.8.3,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,The Profanity of the World,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#the-profanity-of-the-world
,1.2.8.4,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,The Parts of the World,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#the-parts-of-the-world
,1.2.8.5,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,The Rewards of the World,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#the-rewards-of-the-world
,1.2.8.6,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/,Exhortation of the Pious Man to His Soul,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-subject-of-the-theology-of-cases-which-is-the-conscience-of-man/#exhortation-of-the-pious-man-to-his-soul
,1,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/,"CHAPTER I. Concerning the End of the Theology of Cases, Which Is the Tranquillity of the Tempted Conscience",https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/#chapter-i-concerning-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience
,1.1,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/,PRECEPTS.,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/#precepts
,1.2,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/,RULES.,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/#rules
,1.2.1,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/,"I. The Theology of Cases is a part of practical theology, concerning the pacifying of the conscience of a tempted man.",https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/#i-the-theology-of-cases-is-a-part-of-practical-theology-concerning-the-pacifying-of-the-conscience-of-a-tempted-man
,1.2.2,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/,II. The Theology of Cases is to be sought from the one Word of God alone.,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/#ii-the-theology-of-cases-is-to-be-sought-from-the-one-word-of-god-alone
,1.2.3,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/,"III. In the preliminary cognition of the end, the Casuist ought to consider in what thing the tranquillity of conscience is situated, and how manifold temptation is.",https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/#iii-in-the-preliminary-cognition-of-the-end-the-casuist-ought-to-consider-in-what-thing-the-tranquillity-of-conscience-is-situated-and-how-manifold-temptation-is
,1.2.3.1,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/,"Rule 1. Temptation is either unto good, or unto evil. The former is called the temptation of probation, the latter of seduction.",https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/#rule-1-temptation-is-either-unto-good-or-unto-evil-the-former-is-called-the-temptation-of-probation-the-latter-of-seduction
,1.2.3.2,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/,"Rule 2. The Devil, the world, and the flesh often intermingle with divine temptations the temptation of security and desperation.",https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/#rule-2-the-devil-the-world-and-the-flesh-often-intermingle-with-divine-temptations-the-temptation-of-security-and-desperation
,1.2.3.3,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/,"Rule 3. God tempts the elect as a father tempts his sons, and that unto the glory of His name and their eternal salvation.",https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/#rule-3-god-tempts-the-elect-as-a-father-tempts-his-sons-and-that-unto-the-glory-of-his-name-and-their-eternal-salvation
,1.2.3.4,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/,Rule 4. Those who are tempted are either elect or reprobate. It is therefore false—this prejudice of the world—that every tempted man is reprobate: such as was the judgment of Job’s friends.,https://confessionallyreformed.wordpress.com/2026/02/11/johann-heinrich-alsted-c-1588-1638-on-the-end-of-the-theology-of-cases-which-is-the-tranquillity-of-the-tempted-conscience/#rule-4-those-who-are-tempted-are-either-elect-or-reprobate-it-is-therefore-false-this-prejudice-of-the-world-that-every-tempted-man-is-reprobate-such-as-was-the-judgment-of-job-s-friends
,1,https://confessionallyreformed.wordpress.com/2025/04/16/lucas-trelcatius-sr-c-1602-on-theology-its-foundation-and-principle-the-holy-scripture/,Question 1: Concerning the Canon:,https://confessionallyreformed.wordpress.com/2025/04/16/lucas-trelcatius-sr-c-1602-on-theology-its-foundation-and-principle-the-holy-scripture/#question-1-concerning-the-canon
,2,https://confessionallyreformed.wordpress.com/2025/04/16/lucas-trelcatius-sr-c-1602-on-theology-its-foundation-and-principle-the-holy-scripture/,Establishment Concerning the Second Question: Which Edition of the Holy Scripture Is Authentic:,https://confessionallyreformed.wordpress.com/2025/04/16/lucas-trelcatius-sr-c-1602-on-theology-its-foundation-and-principle-the-holy-scripture/#establishment-concerning-the-second-question-which-edition-of-the-holy-scripture-is-authentic
,3,https://confessionallyreformed.wordpress.com/2025/04/16/lucas-trelcatius-sr-c-1602-on-theology-its-foundation-and-principle-the-holy-scripture/,The Third Question: Concerning the Authority of the Holy Scripture:,https://confessionallyreformed.wordpress.com/2025/04/16/lucas-trelcatius-sr-c-1602-on-theology-its-foundation-and-principle-the-holy-scripture/#the-third-question-concerning-the-authority-of-the-holy-scripture
,4,https://confessionallyreformed.wordpress.com/2025/04/16/lucas-trelcatius-sr-c-1602-on-theology-its-foundation-and-principle-the-holy-scripture/,The Fourth Question: Concerning the Perspicuity of the Holy Scripture:,https://confessionallyreformed.wordpress.com/2025/04/16/lucas-trelcatius-sr-c-1602-on-theology-its-foundation-and-principle-the-holy-scripture/#the-fourth-question-concerning-the-perspicuity-of-the-holy-scripture
,5,https://confessionallyreformed.wordpress.com/2025/04/16/lucas-trelcatius-sr-c-1602-on-theology-its-foundation-and-principle-the-holy-scripture/,The Fifth Question: Concerning the Interpretation of the Holy Scripture:,https://confessionallyreformed.wordpress.com/2025/04/16/lucas-trelcatius-sr-c-1602-on-theology-its-foundation-and-principle-the-holy-scripture/#the-fifth-question-concerning-the-interpretation-of-the-holy-scripture
,6,https://confessionallyreformed.wordpress.com/2025/04/16/lucas-trelcatius-sr-c-1602-on-theology-its-foundation-and-principle-the-holy-scripture/,The Sixth Question: Concerning the Perfection of the Holy Scripture:,https://confessionallyreformed.wordpress.com/2025/04/16/lucas-trelcatius-sr-c-1602-on-theology-its-foundation-and-principle-the-holy-scripture/#the-sixth-question-concerning-the-perfection-of-the-holy-scripture
,1,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,Introduction:,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#introduction
,1.1,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,The Pure Principle:,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#1-the-pure-principle
,1.2,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,The Mixed Principle:,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#2-the-mixed-principle
,2,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,THEOREMS:,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#theorems
,2.1,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,"After the Fall, natural theology remains one in essence, but it varies and is modified according to the condition of the subjects in whom it resides:",https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#i-after-the-fall-natural-theology-remains-one-in-essence-but-it-varies-and-is-modified-according-to-the-condition-of-the-subjects-in-whom-it-resides
,2.2,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,The use of natural theology is twofold: to render man inexcusable and to prepare him for the school of grace:,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#ii-the-use-of-natural-theology-is-twofold-to-render-man-inexcusable-and-to-prepare-him-for-the-school-of-grace
,2.2.1,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,First Use: Rendering Man Inexcusable:,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#1-first-use-rendering-man-inexcusable
,2.2.2,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,Second Use: Preparation for the School of Grace:,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#2-second-use-preparation-for-the-school-of-grace
,2.3,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,"The Eminent Theological Sayings of the Pagans Must Be Transferred for Our Use, as if from Unjust Possessors. The Relation of Nature and Grace:",https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#ii-the-eminent-theological-sayings-of-the-pagans-must-be-transferred-for-our-use-as-if-from-unjust-possessors-the-relation-of-nature-and-grace
,2.4,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,Nature and Grace Are Not in Conflict,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#iv-nature-and-grace-are-not-in-conflict
,2.5,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,Nature Commends Grace:,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#v-nature-commends-grace
,2.6,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,The Threefold Foundation of Natural Theology:,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#vi-the-threefold-foundation-of-natural-theology
,2.7,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,"Reason, not as the reason of this particular man, but as the reason of humanity, is the foundation of natural theology:",https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#vii-reason-not-as-the-reason-of-this-particular-man-but-as-the-reason-of-humanity-is-the-foundation-of-natural-theology
,2.8,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,"Universal experience, insofar as it belongs to human beings rightly employing their reason, is the foundation of natural theology:",https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#viii-universal-experience-insofar-as-it-belongs-to-human-beings-rightly-employing-their-reason-is-the-foundation-of-natural-theology
,2.9,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,Sacred Scripture as the Principle of Natural Theology:,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#ix-sacred-scripture-as-the-principle-of-natural-theology
,3,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,ANTITHESIS & ELENCHUS:,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#antithesis-elenchus
,3.1,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,"Objection. Non-being has no accidents. Natural theology is a non-being. Therefore, it has no accidents, and consequently, no method of its own should be established:",https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#i-objection-non-being-has-no-accidents-natural-theology-is-a-non-being-therefore-it-has-no-accidents-and-consequently-no-method-of-its-own-should-be-established
,3.2,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,"Objection. Natural theology is nothing other than metaphysics, if you consider those topics discussed regarding God, angels, and the separated soul, and Christian ethics, if you consider those matters concerning duties toward God and neighbor provided here:",https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#ii-objection-natural-theology-is-nothing-other-than-metaphysics-if-you-consider-those-topics-discussed-regarding-god-angels-and-the-separated-soul-and-christian-ethics-if-you-consider-those-matters-concerning-duties-toward-god-and-neighbor-provided-here
,3.3,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,Objection. The division of natural theology into a common and proper part is not an adequate division because other disciplines are also divided in this way:,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#iii-objection-the-division-of-natural-theology-into-a-common-and-proper-part-is-not-an-adequate-division-because-other-disciplines-are-also-divided-in-this-way
,3.4,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,Objection. To commend nature is to diminish grace. And to exalt free will corrupts the grace of God. Natural theology writers commit this error:,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#iv-objection-to-commend-nature-is-to-diminish-grace-and-to-exalt-free-will-corrupts-the-grace-of-god-natural-theology-writers-commit-this-error
,3.5,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,Objection. It is an extreme folly to seek out the sayings of the Gentiles and to call them theologians:,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#v-objection-it-is-an-extreme-folly-to-seek-out-the-sayings-of-the-gentiles-and-to-call-them-theologians
,3.6,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/,Objection. A dissimilar mode of revealing truth makes the truth itself dissimilar:,https://confessionallyreformed.wordpress.com/2025/04/15/johann-heinrich-alsted-1558-1638-on-the-principle-of-natural-theology/#vi-objection-a-dissimilar-mode-of-revealing-truth-makes-the-truth-itself-dissimilar
,1,https://confessionallyreformed.wordpress.com/2026/02/02/franciscus-gomarus-c-1563-1641-on-the-law-of-god/,THEOLOGICAL THESES ON THE LAW OF GOD,https://confessionallyreformed.wordpress.com/2026/02/02/franciscus-gomarus-c-1563-1641-on-the-law-of-god/#theological-theses-onthe-law-of-god
,1.1,https://confessionallyreformed.wordpress.com/2026/02/02/franciscus-gomarus-c-1563-1641-on-the-law-of-god/,I. Prolegomena: The Name and Definition of Law,https://confessionallyreformed.wordpress.com/2026/02/02/franciscus-gomarus-c-1563-1641-on-the-law-of-god/#i-prolegomena-the-name-and-definition-of-law
,1.1.1,https://confessionallyreformed.wordpress.com/2026/02/02/franciscus-gomarus-c-1563-1641-on-the-law-of-god/,A. The Etymology of the Name “Law”,https://confessionallyreformed.wordpress.com/2026/02/02/franciscus-gomarus-c-1563-1641-on-the-law-of-god/#a-the-etymology-of-the-name-law
,1.1.2,https://confessionallyreformed.wordpress.com/2026/02/02/franciscus-gomarus-c-1563-1641-on-the-law-of-god/,B. The General Definition of Law,https://confessionallyreformed.wordpress.com/2026/02/02/franciscus-gomarus-c-1563-1641-on-the-law-of-god/#b-the-general-definition-of-law
,1.2,https://confessionallyreformed.wordpress.com/2026/02/02/franciscus-gomarus-c-1563-1641-on-the-law-of-god/,II. The Division of Law in General,https://confessionallyreformed.wordpress.com/2026/02/02/franciscus-gomarus-c-1563-1641-on-the-law-of-god/#ii-the-division-of-law-in-general
